Fiyat,Mahalle,İlan Güncelleme Tarihi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Krediye Uygunluk,Tapu Durumu,Site İçerisinde,Eşya Durumu,Takas,Banyo Sayısı,WC Sayısı
2.600.000TL,Tuna Mahallesi,30 Ekim 2025,Daire,45 m²,60 m²,1+1,21 Ve Üzeri,3.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,1,
2.990.000TL,Barbaros Mahallesi,05 Kasım 2025,Daire,28 m²,40 m²,Stüdyo,4,17.Kat,30.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1,
3.200.000TL,Koşukavak Mahallesi,25 Kasım 2025,Daire,90 m²,92 m²,2+1,21 Ve Üzeri,2.Kat,5.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1,
21.000.000TL,İnönü Mahallesi,17 Kasım 2025,Bina,110 m²,130 m²,2+1,16-20,,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Bilinmiyor,Kat Mülkiyeti,Hayır,,Yok,1,2.0
3.975.000TL,Evka 3 Mahallesi,26 Kasım 2025,Daire,75 m²,80 m²,2+1,21 Ve Üzeri,3.Kat,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1,
14.950.000TL,Evka 3 Mahallesi,31 Ekim 2025,Daire,112 m²,135 m²,3+1,0 (Yeni),2.Kat,5.0,Yerden Isıtma,Boş,Krediye Uygun,Kat İrtifakı,Evet,Boş,Var,1,
7.650.000TL,Egemenlik Mahallesi,27 Kasım 2025,Müstakil Ev,100 m²,144 m²,3+1,21 Ve Üzeri,,1.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Kat İrtifakı,Hayır,Boş,Yok,1,
3.900.000TL,Çınar Mahallesi,11 Kasım 2025,Daire,120 m²,145 m²,3+1,21 Ve Üzeri,3.Kat,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Var,2,
3.900.000TL,Birlik Mahallesi,05 Kasım 2025,Müstakil Ev,115 m²,150 m²,3+1,21 Ve Üzeri,,1.0,Klimalı,Kiracı Oturuyor,Krediye Uygun Değil,Müstakil Tapulu,Hayır,Boş,Yok,1,
4.600.000TL,Barbaros Mahallesi,21 Kasım 2025,Daire,48 m²,62 m²,1+1,0 (Yeni),4.Kat,4.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1,
15.850.000TL,Ergene Mahallesi,25 Kasım 2025,Müstakil Ev,120 m²,200 m²,3+1,11-15,,1.0,Merkezi Doğalgaz,Boş,Bilinmiyor,Müstakil Tapulu,Hayır,,Yok,1,
14.850.000TL,Evka 3 Mahallesi,31 Ekim 2025,Daire,112 m²,135 m²,3+1,0 (Yeni),2.Kat,5.0,Yerden Isıtma,Boş,Krediye Uygun,Kat İrtifakı,Hayır,,Var,1,
3.700.000TL,Evka 4 Mahallesi,18 Kasım 2025,Daire,100 m²,105 m²,3+1,16-20,Yüksek Giriş,8.0,Isıtma Yok,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,
4.200.000TL,Gazi Osman Paşa Mahallesi,26 Kasım 2025,Daire,100 m²,110 m²,2+1,21 Ve Üzeri,3.Kat,3.0,Klimalı,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,
4.250.000TL,Kızılay Mahallesi,27 Kasım 2025,Daire,80 m²,90 m²,1+1,5-10,Yüksek Giriş,2.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
3.700.000TL,Kızılay Mahallesi,17 Kasım 2025,Daire,77 m²,85 m²,2+1,5-10,1.Kat,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,
6.380.000TL,Ergene Mahallesi,19 Kasım 2025,Daire,79 m²,88 m²,2+1,5-10,2.Kat,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
5.200.000TL,Kemalpaşa Mahallesi,26 Kasım 2025,Daire,150 m²,300 m²,3+1,11-15,4.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Yok,2,
4.000.000TL,Kazımdirik Mahallesi,20 Kasım 2025,Daire,80 m²,85 m²,2+1,21 Ve Üzeri,3.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,,Yok,1,
15.000.000TL,Doğanlar Mahallesi,28 Kasım 2025,Müstakil Ev,120 m²,130 m²,3+1,0 (Yeni),,2.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kooperatiften Tapu,Evet,,,1,
5.750.000TL,Koşukavak Mahallesi,03 Kasım 2025,Daire,75 m²,89 m²,2+1,1,22.Kat,24.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,,Var,2,
12.750.000TL,Evka 3 Mahallesi,20 Kasım 2025,Daire,180 m²,220 m²,4+1,16-20,2.Kat,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Yok,2,
