,Fiyat,Mahalle,İlan Güncelleme Tarihi,Tipi,Net Metrekare,Brüt Metrekare,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Krediye Uygunluk,Tapu Durumu,Site İçerisinde,Eşya Durumu,Takas,Banyo Sayısı,WC Sayısı,Binanın Yaşı Num,Bulunduğu Kat Num,Salon Sayısı,Oda Sayısı Num,Toplam Oda Sayısı
0,2600000.0,Tuna Mahallesi,2025-10-30,Daire,45.0,60.0,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,1.0,,25.0,3,1.0,1.0,2.0
1,2990000.0,Barbaros Mahallesi,2025-11-05,Daire,28.0,40.0,30.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1.0,,4.0,17,1.0,0.0,1.0
2,3200000.0,Koşukavak Mahallesi,2025-11-25,Daire,90.0,92.0,5.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1.0,,25.0,2,1.0,2.0,3.0
3,21000000.0,İnönü Mahallesi,2025-11-17,Bina,110.0,130.0,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Bilinmiyor,Kat Mülkiyeti,Hayır,,Yok,1.0,2.0,18.0,0,1.0,2.0,3.0
4,3975000.0,Evka 3 Mahallesi,2025-11-26,Daire,75.0,80.0,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1.0,,25.0,3,1.0,2.0,3.0
5,14950000.0,Evka 3 Mahallesi,2025-10-31,Daire,112.0,135.0,5.0,Yerden Isıtma,Boş,Krediye Uygun,Kat İrtifakı,Evet,Boş,Var,1.0,,0.0,2,1.0,3.0,4.0
6,7650000.0,Egemenlik Mahallesi,2025-11-27,Müstakil Ev,100.0,144.0,1.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Kat İrtifakı,Hayır,Boş,Yok,1.0,,25.0,0,1.0,3.0,4.0
7,3900000.0,Çınar Mahallesi,2025-11-11,Daire,120.0,145.0,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Var,2.0,,25.0,3,1.0,3.0,4.0
8,3900000.0,Birlik Mahallesi,2025-11-05,Müstakil Ev,115.0,150.0,1.0,Klimalı,Kiracı Oturuyor,Krediye Uygun Değil,Müstakil Tapulu,Hayır,Boş,Yok,1.0,,25.0,0,1.0,3.0,4.0
9,4600000.0,Barbaros Mahallesi,2025-11-21,Daire,48.0,62.0,4.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1.0,,0.0,4,1.0,1.0,2.0
