URL,Fiyat,il,Ilce,Mahalle,Baslik,İlan Numarası,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Krediye Uygunluk,Yatırıma Uygunluk,Tapu Durumu,Site İçerisinde,Eşya Durumu,Takas,Banyo Sayısı,Fiyat Durumu,Aciklama,Aidat,İlan Oluşturma Tarihi,Kira Getirisi,Balkon Durumu,Kattaki Daire Sayısı,Balkon Sayısı,WC Sayısı,Ada,Parsel,Yapı Durumu,Yapı Tipi,İpotek Durumu,Banyo Metrekare,Salon Metrekare,WC Metrekare,Görüntülü Gezilebilir mi?,Zemin Etüdü,Balkon Tipi,Pafta,Balkon Metrekare
https://www.emlakjet.com/ilan/bornova-camdibi-satilik-sifir-balkonlu-tadilatli-11-daire-18327373,2.600.000TL,İzmir,Bornova,Tuna Mahallesi,,18327373.0,30 Ekim 2025,Konut,Satılık,Daire,45 m²,60 m²,1+1,21 Ve Üzeri,3.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Bilinmiyor,Kat Mülkiyeti,Hayır,Boş,Var,1,Genel Fiyat,İlan Numarası18327373İlan Güncelleme Tarihi30 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare45 m²Brüt Metrekare60 m²Oda Sayısı1+1Binanın Yaşı21 Ve ÜzeriBulunduğu Kat3.KatBinanın Kat Sayısı4Isıtma TipiKombi DoğalgazKullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat MülkiyetiSite İçerisindeHayırEşya DurumuBoşTakasVarBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/emlak-buraya-dan-bornova-dap-izmir-de-satilik-studyo-daire-18363102,2.990.000TL,İzmir,Bornova,Barbaros Mahallesi,,18363102.0,05 Kasım 2025,Konut,Satılık,Daire,28 m²,40 m²,Stüdyo,4,17.Kat,30.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,,Kat Mülkiyeti,Hayır,,Yok,1,Genel Fiyat,İlan Numarası18363102İlan Güncelleme Tarihi05 Kasım 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare28 m²Brüt Metrekare40 m²Oda SayısıStüdyoBinanın Yaşı4Bulunduğu Kat17.KatBinanın Kat Sayısı30Isıtma TipiMerkezi (Pay Ölçer)Kullanım DurumuKiracı OturuyorKrediye UygunlukKrediye UygunTapu DurumuKat MülkiyetiSite İçerisindeHayırAidat4350 TLTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,4350 TL,,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/altindag-kosukavak-ta-21-satilik-daire-18488318,3.200.000TL,İzmir,Bornova,Koşukavak Mahallesi,,18488318.0,25 Kasım 2025,Konut,Satılık,Daire,90 m²,92 m²,2+1,21 Ve Üzeri,2.Kat,5.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Bilinmiyor,Kat Mülkiyeti,Hayır,,Yok,1,Genel Fiyat,İlan Numarası18488318İlan Oluşturma Tarihi25 Kasım 2025İlan Güncelleme Tarihi25 Kasım 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare90 m²Brüt Metrekare92 m²Oda Sayısı2+1Binanın Yaşı21 Ve ÜzeriBulunduğu Kat2.KatBinanın Kat Sayısı5Isıtma TipiKlimalıKullanım DurumuKiracı OturuyorKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat MülkiyetiSite İçerisindeHayırTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,25 Kasım 2025,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/bornova-inonu-mh-masrafsiz-5-katli-satilik-bina-18349459,21.000.000TL,İzmir,Bornova,İnönü Mahallesi,,18349459.0,17 Kasım 2025,Konut,Satılık,Bina,110 m²,130 m²,2+1,16-20,,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Bilinmiyor,,Kat Mülkiyeti,Hayır,,Yok,1,Genel Fiyat,İlan Numarası18349459İlan Güncelleme Tarihi17 Kasım 2025TürüKonutKategorisiSatılıkTipiBinaNet Metrekare110 m²Brüt Metrekare130 m²Oda Sayısı2+1Binanın Yaşı16-20Binanın Kat Sayısı5Isıtma TipiKombi DoğalgazKullanım DurumuMülk Sahibi OturuyorKrediye UygunlukBilinmiyorTapu DurumuKat MülkiyetiSite İçerisindeHayırKira Getirisi125000 TLTakasYokBanyo Sayısı1Balkon DurumuVarKattaki Daire Sayısı1Balkon Sayısı2WC Sayısı2Fiyat DurumuGenel FiyatDaha Fazla Gör,,,125000 TL,Var,1.0,2.0,2.0,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/bornova-evka-3-te-satilik-21-daire-18492989,3.975.000TL,İzmir,Bornova,Evka 3 Mahallesi,,18492989.0,26 Kasım 2025,Konut,Satılık,Daire,75 m²,80 m²,2+1,21 Ve Üzeri,3.Kat,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,,Kat Mülkiyeti,Hayır,,Yok,1,Genel Fiyat,İlan Numarası18492989İlan Oluşturma Tarihi26 Kasım 2025İlan Güncelleme Tarihi26 Kasım 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare75 m²Brüt Metrekare80 m²Oda Sayısı2+1Binanın Yaşı21 Ve ÜzeriBulunduğu Kat3.KatBinanın Kat Sayısı5Isıtma TipiKombi DoğalgazKullanım DurumuMülk Sahibi OturuyorKrediye UygunlukKrediye UygunTapu DurumuKat MülkiyetiSite İçerisindeHayırTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,26 Kasım 2025,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/bornova-evka-3-aegean-forest-31-orman-manzarali-luks-daire-18337379,14.950.000TL,İzmir,Bornova,Evka 3 Mahallesi,,18337379.0,31 Ekim 2025,Konut,Satılık,Daire,112 m²,135 m²,3+1,0 (Yeni),2.Kat,5.0,Yerden Isıtma,Boş,Krediye Uygun,Bilinmiyor,Kat İrtifakı,Evet,Boş,Var,1,Genel Fiyat,İlan Numarası18337379İlan Güncelleme Tarihi31 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare112 m²Brüt Metrekare135 m²Oda Sayısı3+1Binanın Yaşı0 (Yeni)Bulunduğu Kat2.KatBinanın Kat Sayısı5Isıtma TipiYerden IsıtmaKullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat İrtifakıSite İçerisindeEvetEşya DurumuBoşTakasVarBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/turyap-tan-isikkent-egemenlik-mh-satilik-31-mustakil-ev-18403037,7.650.000TL,İzmir,Bornova,Egemenlik Mahallesi,,18403037.0,27 Kasım 2025,Konut,Satılık,Müstakil Ev,100 m²,144 m²,3+1,21 Ve Üzeri,,1.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Bilinmiyor,Kat İrtifakı,Hayır,Boş,Yok,1,Genel Fiyat,İlan Numarası18403037İlan Oluşturma Tarihi11 Kasım 2025İlan Güncelleme Tarihi27 Kasım 2025TürüKonutKategorisiSatılıkTipiMüstakil EvNet Metrekare100 m²Brüt Metrekare144 m²Oda Sayısı3+1Binanın Yaşı21 Ve ÜzeriBinanın Kat Sayısı1Isıtma TipiKombi DoğalgazKullanım DurumuMülk Sahibi OturuyorKrediye UygunlukKrediye Uygun DeğilYatırıma UygunlukBilinmiyorTapu DurumuKat İrtifakıSite İçerisindeHayırEşya DurumuBoşTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,11 Kasım 2025,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/camdibi-nde-acil-satilik-31-genis-daire-18403047,3.900.000TL,İzmir,Bornova,Çınar Mahallesi,,18403047.0,11 Kasım 2025,Konut,Satılık,Daire,120 m²,145 m²,3+1,21 Ve Üzeri,3.Kat,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Bilinmiyor,Kat Mülkiyeti,Hayır,Boş,Var,2,Genel Fiyat,İlan Numarası18403047İlan Güncelleme Tarihi11 Kasım 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare120 m²Brüt Metrekare145 m²Oda Sayısı3+1Binanın Yaşı21 Ve ÜzeriBulunduğu Kat3.KatBinanın Kat Sayısı4Isıtma TipiKombi DoğalgazKullanım DurumuMülk Sahibi OturuyorKrediye UygunlukKrediye Uygun DeğilYatırıma UygunlukBilinmiyorTapu DurumuKat MülkiyetiSite İçerisindeHayırEşya DurumuBoşTakasVarBanyo Sayısı2Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/bornova-altindag-birlik-mah-satilik-tek-katli-31-mustakil-ev-18361744,3.900.000TL,İzmir,Bornova,Birlik Mahallesi,,18361744.0,05 Kasım 2025,Konut,Satılık,Müstakil Ev,115 m²,150 m²,3+1,21 Ve Üzeri,,1.0,Klimalı,Kiracı Oturuyor,Krediye Uygun Değil,Bilinmiyor,Müstakil Tapulu,Hayır,Boş,Yok,1,Genel Fiyat,İlan Numarası18361744İlan Güncelleme Tarihi05 Kasım 2025TürüKonutKategorisiSatılıkTipiMüstakil EvNet Metrekare115 m²Brüt Metrekare150 m²Oda Sayısı3+1Binanın Yaşı21 Ve ÜzeriBinanın Kat Sayısı1Isıtma TipiKlimalıKullanım DurumuKiracı OturuyorKrediye UygunlukKrediye Uygun DeğilYatırıma UygunlukBilinmiyorTapu DurumuMüstakil TapuluEşya DurumuBoşSite İçerisindeHayırTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/izmir-bornova-avcilar-space-sitesinde-havuzlu-satilik-11-daire-18461453,4.600.000TL,İzmir,Bornova,Barbaros Mahallesi,,18461453.0,21 Kasım 2025,Konut,Satılık,Daire,48 m²,62 m²,1+1,0 (Yeni),4.Kat,4.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,,Kat Mülkiyeti,Hayır,,Yok,1,Genel Fiyat,İlan Numarası18461453İlan Oluşturma Tarihi21 Kasım 2025İlan Güncelleme Tarihi21 Kasım 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare48 m²Brüt Metrekare62 m²Oda Sayısı1+1Binanın Yaşı0 (Yeni)Bulunduğu Kat4.KatBinanın Kat Sayısı4Isıtma TipiMerkezi (Pay Ölçer)Kullanım DurumuKiracı OturuyorKrediye UygunlukKrediye UygunTapu DurumuKat MülkiyetiSite İçerisindeHayırTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,21 Kasım 2025,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/balnova-gayrimenkulden-31-bahceli-mustakil-ev-18490224,15.850.000TL,İzmir,Bornova,Ergene Mahallesi,,18490224.0,25 Kasım 2025,Konut,Satılık,Müstakil Ev,120 m²,200 m²,3+1,11-15,,1.0,Merkezi Doğalgaz,Boş,Bilinmiyor,,Müstakil Tapulu,Hayır,,Yok,1,Genel Fiyat,İlan Numarası18490224İlan Oluşturma Tarihi25 Kasım 2025İlan Güncelleme Tarihi25 Kasım 2025TürüKonutKategorisiSatılıkTipiMüstakil EvNet Metrekare120 m²Brüt Metrekare200 m²Oda Sayısı3+1Binanın Yaşı11-15Binanın Kat Sayısı1Isıtma TipiMerkezi DoğalgazKullanım DurumuBoşKrediye UygunlukBilinmiyorTapu DurumuMüstakil TapuluSite İçerisindeHayırAidat0 TLTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,0 TL,25 Kasım 2025,,,,,,,,,,,,,,,,,,
