URL,Fiyat,Baslik,İl,İlçe,Mahalle,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Krediye Uygunluk,Yatırıma Uygunluk,Tapu Durumu,Site İçerisinde,Eşya Durumu,Takas,Banyo Sayısı,Fiyat Durumu,Aciklama,Yapı Durumu,Yapı Tipi,Kira Getirisi,Balkon Durumu,Balkon Sayısı,Balkon Tipi,İpotek Durumu,Aidat,Banyo Metrekare,Balkon Metrekare,Salon Metrekare,WC Sayısı,WC Metrekare,Ada,Parsel,Görüntülü Gezilebilir mi?,Zemin Etüdü,Kattaki Daire Sayısı
https://www.emlakjet.com/ilan/bornova-buz-pistine-yuruyus-mesafesinde-satilik-21-daire-18101492,4.500.000 TL,,İzmir,Bornova,Kızılay Mahallesi,18101492,21 Eylül 2025,27 Kasım 2025,Konut,Satılık,Daire,75 m²,80 m²,2+1,0 (Yeni),Yüksek Giriş,2,Kombi Doğalgaz,Boş,Krediye Uygun,Bilinmiyor,Kat Mülkiyeti,Hayır,Boş,Yok,1,Genel Fiyat,İlan Numarası18101492İlan Oluşturma Tarihi21 Eylül 2025İlan Güncelleme Tarihi27 Kasım 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare75 m²Brüt Metrekare80 m²Oda Sayısı2+1Binanın Yaşı0 (Yeni)Bulunduğu KatYüksek GirişBinanın Kat Sayısı2Isıtma TipiKombi DoğalgazKullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat MülkiyetiSite İçerisindeHayırEşya DurumuBoşTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/yesilova-renova-sitesinde-genis-ferah-satilik-21-daire-18292202,6.800.000 TL,,İzmir,Bornova,Yeşilova Mahallesi,18292202,,24 Ekim 2025,Konut,Satılık,Daire,80 m²,90 m²,2+1,11-15,3.Kat,9,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Bilinmiyor,Kat İrtifakı,Evet,Boş,Yok,2,Genel Fiyat,İlan Numarası18292202İlan Güncelleme Tarihi24 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare80 m²Brüt Metrekare90 m²Oda Sayısı2+1Binanın Yaşı11-15Bulunduğu Kat3.KatBinanın Kat Sayısı9Isıtma TipiMerkezi (Pay Ölçer)Kullanım DurumuKiracı OturuyorKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat İrtifakıSite İçerisindeEvetEşya DurumuBoşTakasYokBanyo Sayısı2Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/bornova-merkeze-yurume-mesafesinde-genis-11-ler-lansmana-ozel-18101512,3.750.000 TL,,İzmir,Bornova,Kızılay Mahallesi,18101512,21 Eylül 2025,27 Kasım 2025,Konut,Satılık,Daire,55 m²,60 m²,1+1,0 (Yeni),1.Kat,1,Kombi Doğalgaz,Boş,Krediye Uygun,Bilinmiyor,Kat İrtifakı,Hayır,Boş,Yok,1,Genel Fiyat,İlan Numarası18101512İlan Oluşturma Tarihi21 Eylül 2025İlan Güncelleme Tarihi27 Kasım 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare55 m²Brüt Metrekare60 m²Oda Sayısı1+1Binanın Yaşı0 (Yeni)Bulunduğu Kat1.KatBinanın Kat Sayısı1Isıtma TipiKombi DoğalgazKullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat İrtifakıSite İçerisindeHayırEşya DurumuBoşTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/krediye-uygun-21-site-ici-kapali-mutfak-satilik-daire-18127682,3.650.000 TL,,İzmir,Bornova,Atatürk Mahallesi,18127682,,30 Ekim 2025,Konut,Satılık,Daire,75 m²,85 m²,2+1,16-20,Düz Giriş (Zemin),5,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Yatırıma Uygun,Kat İrtifakı,Evet,Boş,Var,1,Genel Fiyat,İlan Numarası18127682İlan Güncelleme Tarihi30 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare75 m²Brüt Metrekare85 m²Oda Sayısı2+1Binanın Yaşı16-20Bulunduğu KatDüz Giriş (Zemin)Binanın Kat Sayısı5Isıtma TipiKombi DoğalgazKullanım DurumuMülk Sahibi OturuyorKrediye UygunlukKrediye UygunYatırıma UygunlukYatırıma UygunYapı Durumuİkinci ElYapı TipiBetonarmeTapu DurumuKat İrtifakıSite İçerisindeEvetEşya DurumuBoşKira Getirisi25000 TLTakasVarBanyo Sayısı1Balkon DurumuVarBalkon Sayısı1Balkon TipiAçık BalkonFiyat DurumuGenel FiyatDaha Fazla Gör,İkinci El,Betonarme,25000 TL,Var,1.0,Açık Balkon,,,,,,,,,,,,
https://www.emlakjet.com/ilan/turyap-tan-doganlar-da-iyi-konumda-genis-21-satilik-daire-18189978,5.750.000 TL,,İzmir,Bornova,Doğanlar Mahallesi,18189978,,09 Ekim 2025,Konut,Satılık,Daire,80 m²,95 m²,2+1,5-10,5.Kat,9,Merkezi (Pay Ölçer),Mülk Sahibi Oturuyor,Krediye Uygun,Bilinmiyor,Kat İrtifakı,Hayır,Boş,Yok,1,Genel Fiyat,İlan Numarası18189978İlan Güncelleme Tarihi09 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare80 m²Brüt Metrekare95 m²Oda Sayısı2+1Binanın Yaşı5-10Bulunduğu Kat5.KatBinanın Kat Sayısı9Isıtma TipiMerkezi (Pay Ölçer)Kullanım DurumuMülk Sahibi OturuyorKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat İrtifakıSite İçerisindeHayırEşya DurumuBoşTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/kw-cobans-dan-palmiye-park-renova-da-kacmaz-daire-genis-balkonlu-onu-acik-sik-bakimli-18106959,6.450.000 TL,,İzmir,Bornova,Yeşilova Mahallesi,18106959,,19 Kasım 2025,Konut,Satılık,Daire,100 m²,115 m²,2+1,5-10,1.Kat,9,Merkezi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Yatırıma Uygun,Kat Mülkiyeti,Evet,Boş,Yok,2,Genel Fiyat,İlan Numarası18106959İlan Güncelleme Tarihi19 Kasım 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare100 m²Brüt Metrekare115 m²Oda Sayısı2+1Binanın Yaşı5-10Bulunduğu Kat1.KatBinanın Kat Sayısı9Isıtma TipiMerkezi DoğalgazKullanım DurumuKiracı OturuyorKrediye UygunlukKrediye UygunYatırıma UygunlukYatırıma UygunYapı Durumuİkinci ElYapı TipiBetonarmeTapu DurumuKat Mülkiyetiİpotek DurumuYokSite İçerisindeEvetEşya DurumuBoşAidat1300 TLKira Getirisi35000 TLTakasYokBanyo Sayısı2Banyo Metrekare6 m²Balkon DurumuVarBalkon Sayısı1Balkon TipiKapalı BalkonBalkon Metrekare10 m²Salon Metrekare30 m²WC Sayısı2WC Metrekare6 m²Ada7693Parsel1Fiyat DurumuGenel FiyatGörüntülü Gezilebilir mi?EvetZemin EtüdüVarDaha Fazla Gör,İkinci El,Betonarme,35000 TL,Var,1.0,Kapalı Balkon,Yok,1300 TL,6 m²,10 m²,30 m²,2.0,6 m²,7693.0,1.0,Evet,Var,
https://www.emlakjet.com/ilan/izmir-bornova-da-satilik-ultra-luks-tripleks-18066128,25.500.000 TL,,İzmir,Bornova,Atatürk Mahallesi,18066128,,18 Ekim 2025,Konut,Satılık,Villa,120 m²,150 m²,4+1,3,,3,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Bilinmiyor,Müstakil Tapulu,Hayır,Boş,Yok,2,Genel Fiyat,İlan Numarası18066128İlan Güncelleme Tarihi18 Ekim 2025TürüKonutKategorisiSatılıkTipiVillaNet Metrekare120 m²Brüt Metrekare150 m²Oda Sayısı4+1Binanın Yaşı3Binanın Kat Sayısı3Isıtma TipiKombi DoğalgazKullanım DurumuMülk Sahibi OturuyorKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuMüstakil TapuluEşya DurumuBoşSite İçerisindeHayırTakasYokBanyo Sayısı2Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/bornova-point-residence-satilik-11-daire-18114355,3.300.000 TL,,İzmir,Bornova,Yeşilova Mahallesi,18114355,,24 Eylül 2025,Konut,Satılık,Daire,48 m²,57 m²,1+1,5-10,8.Kat,47,Merkezi Doğalgaz,Boş,Krediye Uygun,,Kat İrtifakı,Evet,,,1,Genel Fiyat,İlan Numarası18114355İlan Güncelleme Tarihi24 Eylül 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare48 m²Brüt Metrekare57 m²Oda Sayısı1+1Binanın Yaşı5-10Bulunduğu Kat8.KatBinanın Kat Sayısı47Isıtma TipiMerkezi DoğalgazKullanım DurumuBoşKrediye UygunlukKrediye UygunTapu DurumuKat İrtifakıSite İçerisindeEvetBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/bornova-camdibi-cinar-mah-109-m-arsa-3-kat-komple-bina-18246543,7.500.000 TL,,İzmir,Bornova,Çınar Mahallesi,18246543,,16 Ekim 2025,Konut,Satılık,Bina,95 m²,109 m²,6+3,21 Ve Üzeri,,2,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Bilinmiyor,Müstakil Tapulu,Hayır,,Var,3,Genel Fiyat,İlan Numarası18246543İlan Güncelleme Tarihi16 Ekim 2025TürüKonutKategorisiSatılıkTipiBinaNet Metrekare95 m²Brüt Metrekare109 m²Oda Sayısı6+3Binanın Yaşı21 Ve ÜzeriBinanın Kat Sayısı2Isıtma TipiKombi DoğalgazKullanım DurumuBoşKrediye UygunlukKrediye Uygun DeğilYatırıma UygunlukBilinmiyorYapı Durumuİkinci ElYapı TipiBetonarmeTapu DurumuMüstakil TapuluSite İçerisindeHayırTakasVarBanyo Sayısı3Fiyat DurumuGenel FiyatDaha Fazla Gör,İkinci El,Betonarme,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/turyap-tan-hasim-iscan-yakini-satilik-sifir-park-cephe-21-daire-18292199,7.750.000 TL,,İzmir,Bornova,Kazımdirik Mahallesi,18292199,,24 Ekim 2025,Konut,Satılık,Daire,65 m²,70 m²,2+1,0 (Yeni),4.Kat,4,Kombi Doğalgaz,Boş,Krediye Uygun,Bilinmiyor,Kat İrtifakı,Hayır,Boş,Yok,1,Genel Fiyat,İlan Numarası18292199İlan Güncelleme Tarihi24 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare65 m²Brüt Metrekare70 m²Oda Sayısı2+1Binanın Yaşı0 (Yeni)Bulunduğu Kat4.KatBinanın Kat Sayısı4Isıtma TipiKombi DoğalgazKullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat İrtifakıSite İçerisindeHayırEşya DurumuBoşTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/inonu-mah-turgut-reis-cad-de-mustakil-tadinda-satilik-21-daire-18281795,4.500.000 TL,,İzmir,Bornova,İnönü Mahallesi,18281795,,22 Ekim 2025,Konut,Satılık,Daire,130 m²,140 m²,2+1,11-15,Bodrum Kat,6,Kombi Doğalgaz,Boş,Krediye Uygun,,Kat Mülkiyeti,Hayır,,Yok,2,Genel Fiyat,İlan Numarası18281795İlan Güncelleme Tarihi22 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare130 m²Brüt Metrekare140 m²Oda Sayısı2+1Binanın Yaşı11-15Bulunduğu KatBodrum KatBinanın Kat Sayısı6Isıtma TipiKombi DoğalgazKullanım DurumuBoşKrediye UygunlukKrediye UygunYapı Durumuİkinci ElYapı TipiBetonarmeTapu DurumuKat MülkiyetiSite İçerisindeHayırTakasYokBanyo Sayısı2Ada3360Parsel1Fiyat DurumuGenel FiyatDaha Fazla Gör,İkinci El,Betonarme,,,,,,,,,,,,3360.0,1.0,,,
