URL,Fiyat,Baslik,İl,İlçe,Mahalle,İlan Numarası,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Krediye Uygunluk,Yatırıma Uygunluk,Tapu Durumu,Eşya Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,Aciklama,İlan Oluşturma Tarihi,Yapı Durumu,İpotek Durumu,Banyo Metrekare,Balkon Durumu,Balkon Sayısı,Balkon Tipi,Salon Metrekare,WC Sayısı,WC Metrekare,Zemin Etüdü,Bulunduğu Kat,Yapı Tipi,Balkon Metrekare,Parsel,Görüntülü Gezilebilir mi?,Ada,Kira Getirisi,Aidat,Kattaki Daire Sayısı,Pafta
https://www.emlakjet.com/ilan/bornova-yakakoy-de-satilik-loft-tas-ev-17516826,6.000.000 TL,,İzmir,Bornova,Yakaköy Mahallesi,17516826,24 Ekim 2025,Konut,Satılık,Müstakil Ev,120 m²,160 m²,2+1,5-10,2,Şömine,Boş,Krediye Uygun Değil,Bilinmiyor,Arsa Tapulu,Boş,Hayır,Yok,1,Genel Fiyat,İlan Numarası17516826İlan Güncelleme Tarihi24 Ekim 2025TürüKonutKategorisiSatılıkTipiMüstakil EvNet Metrekare120 m²Brüt Metrekare160 m²Oda Sayısı2+1Binanın Yaşı5-10Binanın Kat Sayısı2Isıtma TipiŞömineKullanım DurumuBoşKrediye UygunlukKrediye Uygun DeğilYatırıma UygunlukBilinmiyorTapu DurumuArsa TapuluEşya DurumuBoşSite İçerisindeHayırTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/sertac-gayrimenkulden-mustakil-ev-17492830,15.750.000 TL,,İzmir,Bornova,İnönü Mahallesi,17492830,29 Kasım 2025,Konut,Satılık,Müstakil Ev,120 m²,130 m²,3+1,11-15,1,Kombi Doğalgaz,Boş,Krediye Uygun,Yatırıma Uygun,Kooperatiften Tapu,Boş,Evet,Yok,1,Genel Fiyat,İlan Numarası17492830İlan Oluşturma Tarihi16 Haziran 2025İlan Güncelleme Tarihi29 Kasım 2025TürüKonutKategorisiSatılıkTipiMüstakil EvNet Metrekare120 m²Brüt Metrekare130 m²Oda Sayısı3+1Binanın Yaşı11-15Binanın Kat Sayısı1Isıtma TipiKombi DoğalgazKullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukYatırıma UygunYapı Durumuİkinci ElTapu DurumuKooperatiften Tapuİpotek DurumuYokSite İçerisindeEvetEşya DurumuBoşTakasYokBanyo Sayısı1Banyo Metrekare5 m²Balkon DurumuVarBalkon Sayısı2Balkon TipiAçık BalkonSalon Metrekare20 m²WC Sayısı1WC Metrekare5 m²Fiyat DurumuGenel FiyatZemin EtüdüVarDaha Fazla Gör,16 Haziran 2025,İkinci El,Yok,5 m²,Var,2,Açık Balkon,20 m²,1.0,5 m²,Var,,,,,,,,,,
https://www.emlakjet.com/ilan/camdibi-tuval-yapi-barbaros-mahallesi-satilik-21-daire-18053041,5.500.000 TL,,İzmir,Bornova,Barbaros Mahallesi,18053041,07 Ekim 2025,Konut,Satılık,Daire,64 m²,75 m²,2+1,0 (Yeni),13,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Bilinmiyor,Kat Mülkiyeti,Boş,Hayır,Var,1,Genel Fiyat,İlan Numarası18053041İlan Güncelleme Tarihi07 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare64 m²Brüt Metrekare75 m²Oda Sayısı2+1Binanın Yaşı0 (Yeni)Bulunduğu Kat7.KatBinanın Kat Sayısı13Isıtma TipiMerkezi (Pay Ölçer)Kullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat MülkiyetiSite İçerisindeHayırEşya DurumuBoşTakasVarBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,7.Kat,,,,,,,,,
https://www.emlakjet.com/ilan/yesilova-da-emsallerinden-muhtesem-31-17621525,4.550.000 TL,,İzmir,Bornova,Yeşilova Mahallesi,17621525,24 Ekim 2025,Konut,Satılık,Daire,130 m²,135 m²,3+1,21 Ve Üzeri,4,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Bilinmiyor,Müstakil Tapulu,Boş,Hayır,Yok,1,Genel Fiyat,İlan Numarası17621525İlan Güncelleme Tarihi24 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare130 m²Brüt Metrekare135 m²Oda Sayısı3+1Binanın Yaşı21 Ve ÜzeriBulunduğu Kat4.KatBinanın Kat Sayısı4Isıtma TipiKombi DoğalgazKullanım DurumuMülk Sahibi OturuyorKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuMüstakil TapuluSite İçerisindeHayırEşya DurumuBoşTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,4.Kat,,,,,,,,,
https://www.emlakjet.com/ilan/krediye-uygun-bornova-merekeze-yurume-mesafesinde-18052240,5.250.000 TL,,İzmir,Bornova,Kızılay Mahallesi,18052240,22 Eylül 2025,Konut,Satılık,Daire,100 m²,105 m²,3+1,5-10,3,Kombi Doğalgaz,Boş,Krediye Uygun,,Kat Mülkiyeti,,Hayır,,1,Genel Fiyat,İlan Numarası18052240İlan Güncelleme Tarihi22 Eylül 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare100 m²Brüt Metrekare105 m²Oda Sayısı3+1Binanın Yaşı5-10Bulunduğu Kat1.KatBinanın Kat Sayısı3Isıtma TipiKombi DoğalgazKullanım DurumuBoşKrediye UygunlukKrediye UygunTapu DurumuKat MülkiyetiSite İçerisindeHayırBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,1.Kat,,,,,,,,,
https://www.emlakjet.com/ilan/kazancli-is-firsati-satilik-tam-donanimli-kiracili-ruhsatli-anaokulu-17666684,12.000.000 TL,,İzmir,Bornova,Atatürk Mahallesi,17666684,10 Ekim 2025,Konut,Satılık,Daire,245 m²,255 m²,5+2,16-20,4,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,,Kat Mülkiyeti,,Hayır,,2,Genel Fiyat,İlan Numarası17666684İlan Güncelleme Tarihi10 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare245 m²Brüt Metrekare255 m²Oda Sayısı5+2Binanın Yaşı16-20Bulunduğu KatBahçe DublexBinanın Kat Sayısı4Isıtma TipiKombi DoğalgazKullanım DurumuKiracı OturuyorKrediye UygunlukKrediye UygunTapu DurumuKat MülkiyetiSite İçerisindeHayırBanyo Sayısı2Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,Bahçe Dublex,,,,,,,,,
https://www.emlakjet.com/ilan/kw-cobans-tan-bornova-altindag-da-satilik-21-mustakil-daireterasli-kat-bahceli-17629876,2.630.000 TL,,İzmir,Bornova,Birlik Mahallesi,17629876,27 Kasım 2025,Konut,Satılık,Müstakil Ev,60 m²,121 m²,2+1,21 Ve Üzeri,2,Klimalı,Mülk Sahibi Oturuyor,Bilinmiyor,Yatırıma Uygun,Hisseli Tapu,Eşyalı,Hayır,Yok,1,Genel Fiyat,İlan Numarası17629876İlan Oluşturma Tarihi09 Temmuz 2025İlan Güncelleme Tarihi27 Kasım 2025TürüKonutKategorisiSatılıkTipiMüstakil EvNet Metrekare60 m²Brüt Metrekare121 m²Oda Sayısı2+1Binanın Yaşı21 Ve ÜzeriBinanın Kat Sayısı2Isıtma TipiKlimalıKullanım DurumuMülk Sahibi OturuyorKrediye UygunlukBilinmiyorYatırıma UygunlukYatırıma UygunYapı Durumuİkinci ElYapı TipiKagirTapu DurumuHisseli Tapuİpotek DurumuYokSite İçerisindeHayırEşya DurumuEşyalıTakasYokBanyo Sayısı1Banyo Metrekare5 m²Balkon DurumuVarBalkon Sayısı1Balkon TipiAçık TerasBalkon Metrekare40 m²Salon Metrekare30 m²WC Sayısı1WC Metrekare4 m²Parsel1296Fiyat DurumuGenel FiyatGörüntülü Gezilebilir mi?EvetDaha Fazla Gör,09 Temmuz 2025,İkinci El,Yok,5 m²,Var,1,Açık Teras,30 m²,1.0,4 m²,,,Kagir,40 m²,1296.0,Evet,,,,,
https://www.emlakjet.com/ilan/bornova-site-icinde-havuzlu-satilik-31-17789797,8.900.000 TL,,İzmir,Bornova,Yeşilova Mahallesi,17789797,07 Kasım 2025,Konut,Satılık,Daire,145 m²,165 m²,3+1,11-15,9,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Bilinmiyor,Kat Mülkiyeti,Boş,Evet,Yok,2,Genel Fiyat,İlan Numarası17789797İlan Güncelleme Tarihi07 Kasım 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare145 m²Brüt Metrekare165 m²Oda Sayısı3+1Binanın Yaşı11-15Bulunduğu Kat7.KatBinanın Kat Sayısı9Isıtma TipiKombi DoğalgazKullanım DurumuKiracı OturuyorKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat MülkiyetiSite İçerisindeEvetEşya DurumuBoşTakasYokBanyo Sayısı2Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,7.Kat,,,,,,,,,
https://www.emlakjet.com/ilan/bornova-erzene-mahallesi-31-satilik-daire-17862283,4.500.000 TL,,İzmir,Bornova,Erzene Mahallesi,17862283,27 Kasım 2025,Konut,Satılık,Daire,115 m²,125 m²,3+1,21 Ve Üzeri,5,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Bilinmiyor,Kat İrtifakı,Boş,Hayır,Yok,1,Genel Fiyat,İlan Numarası17862283İlan Oluşturma Tarihi13 Ağustos 2025İlan Güncelleme Tarihi27 Kasım 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare115 m²Brüt Metrekare125 m²Oda Sayısı3+1Binanın Yaşı21 Ve ÜzeriBulunduğu Kat5.KatBinanın Kat Sayısı5Isıtma TipiKombi DoğalgazKullanım DurumuKiracı OturuyorKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat İrtifakıSite İçerisindeHayırEşya DurumuBoşTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,13 Ağustos 2025,,,,,,,,,,,5.Kat,,,,,,,,,
https://www.emlakjet.com/ilan/bornova-asik-veysel-rekreasyon-alani-karsisi-dogalgazli-31-17808505,4.250.000 TL,,İzmir,Bornova,Kazımdirik Mahallesi,17808505,07 Ekim 2025,Konut,Satılık,Daire,115 m²,120 m²,3+1,21 Ve Üzeri,7,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Bilinmiyor,Kat Mülkiyeti,Boş,Hayır,Yok,1,Genel Fiyat,İlan Numarası17808505İlan Güncelleme Tarihi07 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare115 m²Brüt Metrekare120 m²Oda Sayısı3+1Binanın Yaşı21 Ve ÜzeriBulunduğu Kat7.KatBinanın Kat Sayısı7Isıtma TipiKombi DoğalgazKullanım DurumuMülk Sahibi OturuyorKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat MülkiyetiSite İçerisindeHayırEşya DurumuBoşTakasYokBanyo Sayısı1Ada4035Parsel1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,7.Kat,,,1.0,,4035.0,,,,
